排名,排名1,学校
1,1,北京大学
2,2,清华大学
3,3,中国科学院大学
4,4,复旦大学
5,5,中国人民大学
6,5,浙江大学
7,7,上海交通大学
8,8,南京大学
9,9,武汉大学
10,10,中山大学
11,11,吉林大学
12,12,华中科技大学
13,13,天津大学
14,14,四川大学
15,15,中国科学技术大学
16,16,南开大学
17,17,北京师范大学
18,18,西安交通大学
19,19,哈尔滨工业大学
20,20,中南大学
21,20,山东大学
22,22,厦门大学
23,23,同济大学
24,24,东南大学
25,25,北京航空航天大学
26,26,东北大学
27,27,西北工业大学
28,28,华东师范大学
29,29,北京理工大学
30,30,华南理工大学
31,31,大连理工大学
32,32,湖南大学
33,33,重庆大学
34,34,中国农业大学
35,35,兰州大学
36,36,华中师范大学
37,37,电子科技大学
38,38,西南大学
39,39,河海大学
40,40,武汉理工大学
41,41,西南交通大学
42,42,北京科技大学
43,43,华中农业大学
44,44,北京交通大学
45,45,西北大学
46,46,郑州大学
47,47,南京农业大学
48,48,华东理工大学
49,49,苏州大学
50,50,南京理工大学
51,51,西安电子科技大学
52,52,东北师范大学
53,53,南京师范大学
54,54,中国海洋大学
55,55,中国地质大学（武汉）
56,56,西北农林科技大学
57,57,南京航空航天大学
58,58,北京邮电大学
59,59,湖南师范大学
60,59,上海大学
61,61,暨南大学
62,62,合肥工业大学
63,63,哈尔滨工程大学
64,64,南昌大学
65,65,陕西师范大学
66,66,华南师范大学
67,67,昆明理工大学
68,68,东华大学
69,69,中南财经政法大学
70,70,云南大学
71,71,北京协和医学院
72,72,上海财经大学
73,73,福州大学
74,74,中国矿业大学
75,74,中国政法大学
76,76,江南大学
77,77,北京化工大学
78,78,中国石油大学（华东）
79,79,华南农业大学
80,80,燕山大学
81,81,河南大学
82,82,宁波大学
83,83,首都师范大学
84,83,福建师范大学
85,85,浙江工业大学
86,86,深圳大学
87,87,浙江师范大学
88,88,江苏大学
89,89,广西大学
90,89,上海理工大学
91,91,长安大学
92,92,杭州电子科技大学
93,92,北京工业大学
94,94,扬州大学
95,95,对外经济贸易大学
96,96,天津师范大学
97,97,山西大学
98,98,齐鲁工业大学
99,98,中央民族大学
100,100,太原理工大学
101,100,河北大学
102,100,西南财经大学
103,103,南京工业大学
104,104,安徽大学
105,105,北京林业大学
106,106,辽宁大学
107,107,黑龙江大学
108,108,首都医科大学
109,108,贵州大学
110,110,新疆大学
111,111,上海师范大学
112,112,内蒙古大学
113,113,中央财经大学
114,114,东北林业大学
115,115,东北财经大学
116,116,广东工业大学
117,117,中国石油大学（北京）
118,118,华北电力大学
119,119,福建农林大学
120,120,南方医科大学
121,121,湘潭大学
122,122,东北农业大学
123,123,南京邮电大学
124,124,西南政法大学
125,125,广东外语外贸大学
126,126,山东师范大学
127,127,华侨大学
128,128,四川农业大学
129,129,长沙理工大学
130,129,西北师范大学
131,131,哈尔滨医科大学
132,132,安徽师范大学
133,132,山东农业大学
134,132,广西师范大学
135,135,大连海事大学
136,135,海南大学
137,135,江西师范大学
138,138,北京语言大学
139,138,南京医科大学
140,140,广州大学
141,141,河北工业大学
142,142,中国药科大学
143,143,山东科技大学
144,143,河南科技大学
145,145,天津医科大学
146,146,北京中医药大学
147,147,天津工业大学
148,147,河北师范大学
149,149,湖南农业大学
150,150,江西财经大学
151,150,浙江工商大学
152,152,青岛大学
153,153,中国医科大学
154,154,西安理工大学
155,155,河南师范大学
156,155,湖北大学
157,157,上海中医药大学
158,157,成都理工大学
159,157,重庆邮电大学
160,160,南京信息工程大学
161,161,南京林业大学
162,161,长春理工大学
163,163,西安建筑科技大学
164,163,云南师范大学
165,163,浙江理工大学
166,166,汕头大学
167,167,中南民族大学
168,167,中国地质大学（北京）
169,169,云南民族大学
170,170,哈尔滨师范大学
171,171,武汉科技大学
172,172,杭州师范大学
173,173,延边大学
174,174,石河子大学
175,175,重庆医科大学
176,176,南方科技大学
177,176,河南农业大学
178,178,大连大学
179,178,温州医科大学
180,180,哈尔滨理工大学
181,181,首都经济贸易大学
182,182,河北农业大学
183,182,四川师范大学
184,182,中国计量大学
185,185,兰州交通大学
186,186,南京中医药大学
187,186,东北电力大学
188,188,东莞理工学院
189,189,山东财经大学
190,190,上海海事大学
191,191,河南理工大学
192,192,宁夏大学
193,193,桂林电子科技大学
194,193,湖北工业大学
195,193,济南大学
196,193,江苏师范大学
197,197,沈阳农业大学
198,198,湖南科技大学
199,198,辽宁工程技术大学
200,198,重庆交通大学
